File name	Line	Function	Duration[ms]	Explored nodes
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\Program.cs	10	_ServerExpressJobs.Program.Main$string$$$	0	3
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\ResourceHandler.cs	9	_ServerExpressJobs.services.ResourceHandler.AddResource$Resource$	0	5
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	73	_ResourcesServices.Client.Dispose$$	0	3
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	79	_ResourcesServices.Client.Dispose$bool$	0	21
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	115	_ResourcesServices.Client.AddResource$Resource$	0	2
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	130	_ResourcesServices.Client.send_AddResource$Resource$	0	3
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	145	_ResourcesServices.Client.recv_AddResource$$	0	6
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	177	_ResourcesServices.Client.GetResource$string$	0	2
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	192	_ResourcesServices.Client.send_GetResource$string$	0	3
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	207	_ResourcesServices.Client.recv_GetResource$$	0	6
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	239	_ResourcesServices.Client.DeleteResource$string$	0	2
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	254	_ResourcesServices.Client.send_DeleteResource$string$	0	3
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	269	_ResourcesServices.Client.recv_DeleteResource$$	0	6
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	301	_ResourcesServices.Client.GetResourcesList$System.Collections.Generic.List$string$$	0	2
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	316	_ResourcesServices.Client.send_GetResourcesList$System.Collections.Generic.List$string$$	0	3
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	331	_ResourcesServices.Client.recv_GetResourcesList$$	0	6
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	706	_ResourcesServices.AddResource_result.ToString$$	0	9
D:\RiderProjects\ServerExpressJobs\ServerExpressJobs\src\services\thrift\ResourcesServices.cs	1143	_ResourcesServices.DeleteResource_result.ToString$$	0	9
